Product Code/SKU,Cost Price,Selling Price
154756,6885.0,8417.75
145892,5865.0,7244.75
160004,6545.0,8026.75
153414,4590.0,5778.5
161246,6290.0,7733.5
161765,6545.0,8026.75
152083,4505.0,5680.75
155349,5100.0,6365.0
152842,2125.0,2943.75
161727,5100.0,6365.0
157687,6545.0,8026.75
161839,8330.0,10079.5
154764,5950.0,7342.5
154773,6545.0,8026.75
160002,6545.0,8026.75
145895,5100.0,6365.0
155375,4250.0,5387.5
157671,8075.0,9786.25
148340,4760.0,5974.0
157690,4590.0,5778.5
161840,7140.0,8711.0
153402,8925.0,10763.75
153435,5355.0,6658.25
155330,6290.0,7733.5
161716,5100.0,6365.0
154772,5100.0,6365.0
154774,6545.0,8026.75
154767,7225.0,8808.75
148334,4505.0,5680.75
148335,4505.0,5680.75
155358,5100.0,6365.0
154768,4930.0,6169.5
153409,6375.0,7831.25
155361,4505.0,5680.75
155380,2040.0,2846.0
155366,3655.0,4703.25
155384,1955.0,2748.25
137939,4590.0,5778.5
154753,8330.0,10079.5
155359,5100.0,6365.0
154765,5950.0,7342.5
155381,1615.0,2357.25
155370,4250.0,5387.5
157673,5355.0,6658.25
146405,4250.0,5387.5
153416,5950.0,7342.5
152073,7480.0,9102.0
152081,4505.0,5680.75
155336,5100.0,6365.0
155376,3655.0,4703.25
161761,4165.0,5289.75
157677,5100.0,6365.0
148962,6630.0,8124.5
155379,1955.0,2748.25
146512,4675.0,5876.25
161244,4845.0,6071.75
153418,8500.0,10275.0
155382,2295.0,3139.25
161264,4080.0,5192.0
154279,4080.0,5192.0
145808,3655.0,4703.25
148967,5355.0,6658.25
152076,5355.0,6658.25
145805,3060.0,4019.0
146511,2550.0,3432.5
148991,6375.0,7831.25
148338,3230.0,4214.5
153434,4930.0,6169.5
152833,3230.0,4214.5
160001,6545.0,8026.75
153421,4505.0,5680.75
153425,4505.0,5680.75
146063,3655.0,4703.25
146269,4080.0,5192.0
146510,4250.0,5387.5
148337,3230.0,4214.5
154771,4250.0,5387.5
146296,4080.0,5192.0
151912,5355.0,6658.25
149003,8840.0,10666.0
145804,3060.0,4019.0
155365,5100.0,6365.0
161219,6460.0,7929.0
152077,5355.0,6658.25
151913,5355.0,6658.25
161717,5100.0,6365.0
148990,5525.0,6853.75
148336,3825.0,4898.75
145810,4080.0,5192.0
153445,5610.0,6951.5
153452,6375.0,7831.25
147892,3060.0,4019.0
145811,2550.0,3432.5
153449,7140.0,8711.0
138412,4420.0,5583.0
147906,3485.0,4507.75
153446,5355.0,6658.25
146513,4675.0,5876.25
146585,3740.0,4801.0
146586,4080.0,5192.0
146579,4675.0,5876.25
146533,5100.0,6365.0
148339,4760.0,5974.0
142408,4335.0,5485.25
153399,5355.0,6658.25
146532,4250.0,5387.5
146592,4335.0,5485.25
146500,5950.0,7342.5
146295,4080.0,5192.0
161728,5100.0,6365.0
161760,4165.0,5289.75
153443,5950.0,7342.5
161769,6120.0,7538.0
155371,4080.0,5192.0
161764,4760.0,5974.0
152078,5355.0,6658.25
154777,8330.0,10079.5
151910,6545.0,8026.75
148966,7140.0,8711.0
137530,5100.0,6365.0
162724,5100.0,6365.0
155374,4250.0,5387.5
146573,5950.0,7342.5
148982,5100.0,6365.0
146565,6885.0,8417.75
146569,7480.0,9102.0
154281,2295.0,3139.25
147896,5950.0,7342.5
153431,5525.0,6853.75
152074,8415.0,10177.25
147891,5100.0,6365.0
147899,3485.0,4507.75
160006,5100.0,6365.0
136752,5355.0,6658.25
146531,5100.0,6365.0
155368,5355.0,6658.25
148942,5100.0,6365.0
145543,4590.0,5778.5
147900,2975.0,3921.25
157686,5100.0,6365.0
146386,4887.5,6120.625
147894,2890.0,3823.5
157688,5100.0,6365.0
157676,5355.0,6658.25
141304,5950.0,7342.5
160005,5355.0,6658.25
145547,4590.0,5778.5
147700,5100.0,6365.0
137533,4080.0,5192.0
146498,4675.0,5876.25
147897,5100.0,6365.0
155367,5355.0,6658.25
153429,6375.0,7831.25
137532,3060.0,4019.0
137386,2890.0,3823.5
145545,4590.0,5778.5
161242,4675.0,5876.25
145535,5610.0,6951.5
145538,5610.0,6951.5
